INT,STRING,INT,INT,INT,FLOAT,STRING,STRING,STRING,INT,STRING
ID,SKILL_NAME,PASSIVE_GROUP,CRAFT_CODE,AFFECT_ABILITY,PASSIVE_VALUE,DESCRIPTION,ICON_IMG,UNLOCK_CONDITION,LEVEL,DESCRIPTION
101051,타오른 자의 기억Lv1,ATTACK,10,1,0.1,공격력 +10%,,0,1,분노의 감정이 느껴지는 누군가의 기억이다. 공격력 +10%
102052,타오른 자의 기억Lv2,ATTACK,10,1,0.2,공격력 +20%,,0,2,분노의 감정이 느껴지는 누군가의 기억이다. 공격력 +20%
103053,타오른 자의 기억Lv3,ATTACK,10,1,0.3,공격력 +30%,,0,3,분노의 감정이 느껴지는 누군가의 기억이다. 공격력 +30%
104054,타오른 자의 기억Lv4,ATTACK,10,1,0.4,공격력 +40%,,0,4,분노의 감정이 느껴지는 누군가의 기억이다. 공격력 +40%
105055,타오른 자의 기억Lv5,ATTACK,10,1,0.5,공격력 +50%,,0,5,분노의 감정이 느껴지는 누군가의 기억이다. 공격력 +50%
201056,매마른 자의 눈물Lv1,HEALTH,20,2,0.1,체력 +10%,,0,1,냉소적인 감정이 느껴지는 누군가의 기억이다. 체력 +10%
202057,매마른 자의 눈물Lv2,HEALTH,20,2,0.2,체력 +20%,,0,2,냉소적인 감정이 느껴지는 누군가의 기억이다. 체력 +20%
203058,매마른 자의 눈물Lv3,HEALTH,20,2,0.3,체력 +30%,,0,3,냉소적인 감정이 느껴지는 누군가의 기억이다. 체력 +30%
204059,매마른 자의 눈물Lv4,HEALTH,20,2,0.4,체력 +40%,,0,4,냉소적인 감정이 느껴지는 누군가의 기억이다. 체력 +40%
205060,매마른 자의 눈물Lv5,HEALTH,20,2,0.5,체력 +50%,,0,5,냉소적인 감정이 느껴지는 누군가의 기억이다. 체력 +50%
301061,눈먼 자의 신념Lv1,SPEED,30,3,0.1,이동 속도 +10% ,,0,1,충만함이 느껴지는 누군가의 기억이다. 이동 속도 +10%
302062,눈먼 자의 신념Lv2,SPEED,30,3,0.2,이동 속도 +20%,,0,2,충만함이 느껴지는 누군가의 기억이다. 이동 속도 +20%
303063,눈먼 자의 신념Lv3,SPEED,30,3,0.3,이동 속도 +30%,,0,3,충만함이 느껴지는 누군가의 기억이다. 이동 속도 +30%
304064,눈먼 자의 신념Lv4,SPEED,30,3,0.4,이동 속도 +40%,,0,4,충만함이 느껴지는 누군가의 기억이다. 이동 속도 +40%
305065,눈먼 자의 신념Lv5,SPEED,30,3,0.5,이동 속도 +50%,,0,5,충만함이 느껴지는 누군가의 기억이다. 이동 속도 +50%
400366,어리석은 지혜Lv1,COOLTIME,40,4,0.03,쿨타임 -3%,,0,1,독선적인 감정이 느껴지는 누군가의 기억이다. 쿨 타임 -3%
400667,어리석은 지혜Lv2,COOLTIME,40,4,0.06,쿨타임 -6%,,0,2,독선적인 감정이 느껴지는 누군가의 기억이다. 쿨 타임 -6%
400968,어리석은 지혜Lv3,COOLTIME,40,4,0.09,쿨타임 -9%,,0,3,독선적인 감정이 느껴지는 누군가의 기억이다. 쿨 타임 -9%
401269,어리석은 지혜Lv4,COOLTIME,40,4,0.12,쿨타임 -12%,,0,4,독선적인 감정이 느껴지는 누군가의 기억이다. 쿨 타임 -12%
401570,어리석은 지혜Lv5,COOLTIME,40,4,0.15,쿨타임 -15%,,0,5,독선적인 감정이 느껴지는 누군가의 기억이다. 쿨 타임 -15%
500571,뒷골목의 정의Lv1,DEFFENSE,50,5,0.05,방어 확률 +5%,,0,1,위선적인 감정이 느껴지는 누군가의 기억이다. 방어 확률 +5%
501072,뒷골목의 정의Lv2,DEFFENSE,50,5,0.1,방어 확률 +10%,,0,2,위선적인 감정이 느껴지는 누군가의 기억이다. 방어 확률 +10%
501573,뒷골목의 정의Lv3,DEFFENSE,50,5,0.15,방어 확률 +15%,,0,3,위선적인 감정이 느껴지는 누군가의 기억이다. 방어 확률 +15%
502074,뒷골목의 정의Lv4,DEFFENSE,50,5,0.2,방어 확률 +20%,,0,4,위선적인 감정이 느껴지는 누군가의 기억이다. 방어 확률 +20%
502575,뒷골목의 정의Lv5,DEFFENSE,50,5,0.25,방어 확률 +25%,,0,5,위선적인 감정이 느껴지는 누군가의 기억이다. 방어 확률 +25%
601076,혼돈의 규칙Lv1,CRITICAL,60,6,0.1,치명타 +10%,,3,1,파괴적인 충동이 느껴지는 누군가의 기억이다. 치명타 확률 +10%
602077,혼돈의 규칙Lv2,CRITICAL,60,6,0.2,치명타 +20%,,3,2,파괴적인 충동이 느껴지는 누군가의 기억이다. 치명타 확률 +20%
603078,혼돈의 규칙Lv3,CRITICAL,60,6,0.3,치명타 +30%,,3,3,파괴적인 충동이 느껴지는 누군가의 기억이다. 치명타 확률 +30%
604079,혼돈의 규칙Lv4,CRITICAL,60,6,0.4,치명타 +40%,,3,4,파괴적인 충동이 느껴지는 누군가의 기억이다. 치명타 확률 +40%
605080,혼돈의 규칙Lv5,CRITICAL,60,6,0.5,치명타 +50%,,3,5,파괴적인 충동이 느껴지는 누군가의 기억이다. 치명타 확률 +50%
